,id,headlines,vader_prediction,roberta_prediction,Human 1,Human 2,Human 3,Final Sentiment
314,1069,BaSulTa candidates ink pact for peaceful polls,positive,positive,P,P,P,P
315,835,"PBBM eyes declaration of state of calamity in Bicol, BARMM",neutral,negative,N,N,N,N
316,975,Active cop wanted for carnapping falls in Cotabato,positive,negative,P,N,N,N
317,1084,"Food, shelter will not be a problem, PRRD tells 'Agaton' victims",neutral,positive,P,P,Nu,P
318,1371,BARMM turns over 3 barangay health stations in Marawi,neutral,negative,P,P,P,P
319,514,P3.4-M 'shabu' seized in Cotabato City,neutral,negative,P,N,N,N
320,757,P25-M public market to rise in Maguindanao Norte upland town,neutral,positive,P,N,P,P
321,487,PNP sees no BSKE postponement,negative,neutral,NU,Nu,Nu,Nu
322,57,"DAR, MAFAR collaborate for Bangsamoro Region agri progress",positive,positive,P,P,P,P
323,399,Japan pledges $5-M for BARMM food program,neutral,positive,P,P,P,P
324,1058,"BARMM economy grows 7.5%, now PH 2nd fastest-growing region",neutral,positive,P,P,P,P
325,44,6 BIFF extremists surrender to BARMM police,neutral,negative,P,P,N,P
326,101,BARMM cites rural physicians for service to indigent communities,neutral,positive,P,P,P,P
327,275,Improved access to social services to further cut poverty in BARMM,negative,positive,P,P,P,P
328,1197,Covid-19 infections in BARMM waning: health exec,neutral,negative,NU,Nu,P,Nu
329,102,SC: BARMM ruling goes into effect despite appeal,neutral,negative,NU,Nu,N,Nu
330,1002,Lanao Sur village gets P2.9-M water system from BARMM,neutral,positive,P,P,P,P
331,108,BARMM cops seize P50-M smuggled cigarettes in 3 months,negative,negative,P,P,N,P
332,1406,"Tawi-Tawi gets sea, land ambulances",neutral,positive,P,Nu,P,P
333,1693,BARMM distributes over 500 ICT equipment to field offices,neutral,positive,P,P,P,P
334,1024,Ex-MILF fighters finish skills training in Maguindanao,negative,negative,P,P,P,P
335,661,700 residents from 2 Lanao Sur towns get medical aid,neutral,positive,P,P,P,P
336,1701,Solons push for the extension of BARMM transition period,neutral,positive,NU,Nu,P,Nu
337,651,Army settles feud of warring Moro clans in Maguindanao Sur,negative,negative,NU,P,P,P
338,779,PBBM wants more ecozones in BARMM: PEZA,neutral,positive,NU,P,P,P
339,1643,"PDEA-BARMM nets P1.4-M drugs in Maguindanao, Cotabato City ops",neutral,positive,NU,N,P,P
340,1114,"100 ex-MILF members complete skills, livelihood training",positive,positive,P,P,P,P
341,129,DSWD aid to 'Kristine'-hit LGUs reaches P2.3-M,positive,negative,P,P,P,P
342,594,"PNP, BARMM execs meet to improve security in Mindanao",positive,positive,P,P,Nu,P
343,1347,MILF party fields bet vs. Cotabato reelectionist mayor,positive,negative,NU,Nu,Nu,Nu
